ma_nganh,ten_nganh,ma_to_hop,nam,diem_thi_sinh,diem_cong_kv,khu_vuc,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,ket_qua,trung_binh_3nam,xu_huong_24_25,chenh_lech
138,Cơ kỹ thuật,A01,2025,0.0,0.75,KV1,60.65,74.7,0.0,1,45.11666666666667,-74.7,-45.11666666666667
138,Cơ kỹ thuật,A01,2023,30.0,0.75,KV1,60.65,74.7,0.0,0,45.11666666666667,-74.7,-15.116666666666667
138,Cơ kỹ thuật,A01,2023,30.0,0.0,KV3,60.65,74.7,0.0,0,45.11666666666667,-74.7,-15.116666666666667
138,Cơ kỹ thuật,A01,2025,0.0,0.25,KV2NT,60.65,74.7,0.0,1,45.11666666666667,-74.7,-45.11666666666667
138,Cơ kỹ thuật,A01,2024,30.0,0.0,KV3,60.65,74.7,0.0,0,45.11666666666667,-74.7,-15.116666666666667
138,Cơ kỹ thuật,A01,2025,1.05,0.25,KV2NT,60.65,74.7,0.0,1,45.11666666666667,-74.7,-44.06666666666667
138,Cơ kỹ thuật,A01,2025,0.04,0.0,KV3,60.65,74.7,0.0,1,45.11666666666667,-74.7,-45.07666666666667
138,Cơ kỹ thuật,A01,2024,30.0,0.25,KV2NT,60.65,74.7,0.0,0,45.11666666666667,-74.7,-15.116666666666667
138,Cơ kỹ thuật,A01,2023,30.0,0.25,KV2NT,60.65,74.7,0.0,0,45.11666666666667,-74.7,-15.116666666666667
138,Cơ kỹ thuật,A01,2025,0.0,0.0,KV3,60.65,74.7,0.0,1,45.11666666666667,-74.7,-45.11666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.25,KV2NT,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.75,KV1,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.25,KV2NT,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2023,30.0,0.5,KV2,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2024,30.0,0.25,KV2NT,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.0,KV3,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2023,30.0,0.0,KV3,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.0,KV3,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.0,KV3,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A00,2025,30.0,0.0,KV3,57.33,65.44,65.59,0,62.78666666666667,0.1500000000000056,-32.78666666666667
141,Bảo dưỡng công nghiệp,A01,2025,2.11,0.0,KV3,57.33,65.44,0.0,1,40.92333333333333,-65.44,-38.81333333333333
141,Bảo dưỡng công nghiệp,A01,2024,30.0,0.0,KV3,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
141,Bảo dưỡng công nghiệp,A01,2025,2.41,0.25,KV2NT,57.33,65.44,0.0,1,40.92333333333333,-65.44,-38.513333333333335
141,Bảo dưỡng công nghiệp,A01,2023,30.0,0.25,KV2NT,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
141,Bảo dưỡng công nghiệp,A01,2025,0.57,0.5,KV2,57.33,65.44,0.0,1,40.92333333333333,-65.44,-40.35333333333333
141,Bảo dưỡng công nghiệp,A01,2023,30.0,0.75,KV1,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
141,Bảo dưỡng công nghiệp,A01,2023,30.0,0.5,KV2,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
141,Bảo dưỡng công nghiệp,A01,2025,3.4,0.0,KV3,57.33,65.44,0.0,1,40.92333333333333,-65.44,-37.52333333333333
141,Bảo dưỡng công nghiệp,A01,2023,30.0,0.25,KV2NT,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
141,Bảo dưỡng công nghiệp,A01,2024,30.0,0.75,KV1,57.33,65.44,0.0,0,40.92333333333333,-65.44,-10.923333333333332
229,Kĩ thuật vật liệu,A00,2023,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2024,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2025,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2024,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2025,30.0,0.75,KV1,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2024,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2025,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2024,30.0,0.75,KV1,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2025,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A00,2025,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2023,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2025,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2023,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2025,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2025,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2025,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2023,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2024,30.0,0.75,KV1,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2025,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,A01,2023,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2023,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2024,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2024,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2024,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2023,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2024,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2023,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2024,30.0,0.5,KV2,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2025,30.0,0.25,KV2NT,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
229,Kĩ thuật vật liệu,D07,2025,30.0,0.0,KV3,55.36,57.96,55.23,0,56.18333333333333,-2.730000000000004,-26.18333333333333
268,Cơ kỹ thuật,A00,2024,30.0,0.5,KV2,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2024,30.0,0.5,KV2,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2025,30.0,0.75,KV1,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2023,30.0,0.0,KV3,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2025,30.0,0.25,KV2NT,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2023,30.0,0.0,KV3,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2024,30.0,0.0,KV3,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2023,30.0,0.5,KV2,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2025,30.0,0.5,KV2,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A00,2024,30.0,0.5,KV2,59.77,68.75,69.4,0,65.97333333333334,0.6500000000000057,-35.97333333333334
268,Cơ kỹ thuật,A01,2024,30.0,0.5,KV2,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2024,30.0,0.5,KV2,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.0,KV3,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.5,KV2,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.5,KV2,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.0,KV3,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.0,KV3,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.25,KV2NT,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2024,30.0,0.25,KV2NT,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
268,Cơ kỹ thuật,A01,2023,30.0,0.75,KV1,59.77,68.75,0.0,0,42.84,-68.75,-12.840000000000003
602,Báo in,D01,2025,30.0,0.5,KV2,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2025,30.0,0.75,KV1,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2023,30.0,0.5,KV2,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2025,30.0,0.25,KV2NT,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2025,30.0,0.0,KV3,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2023,30.0,0.75,KV1,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2023,30.0,0.75,KV1,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2024,30.0,0.25,KV2NT,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2025,30.0,0.75,KV1,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
602,Báo in,D01,2023,30.0,0.25,KV2NT,34.97,35.48,33.82,0,34.75666666666666,-1.6599999999999966,-4.756666666666661
604,Báo phát thanh,D01,2023,30.0,0.75,KV1,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2025,30.0,0.25,KV2NT,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2023,30.0,0.0,KV3,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.0,KV3,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.25,KV2NT,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.5,KV2,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.25,KV2NT,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.5,KV2,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.0,KV3,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
604,Báo phát thanh,D01,2024,30.0,0.25,KV2NT,35.22,35.75,34.3,0,35.09,-1.4500000000000028,-5.089999999999996
605,Báo truyền hình,D01,2023,30.0,0.5,KV2,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2023,30.0,0.0,KV3,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2024,30.0,0.5,KV2,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2025,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2025,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2025,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2024,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2024,30.0,0.0,KV3,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2024,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
605,Báo truyền hình,D01,2024,30.0,0.25,KV2NT,35.73,35.96,34.96,0,35.550000000000004,-1.0,-5.550000000000004
6340118,Marketing thương mại,A00,2024,27.33,0.75,KV1,26.68,26.0,13.65,1,22.11,-12.35,5.219999999999999
6340118,Marketing thương mại,A00,2024,25.52,0.0,KV3,26.68,26.0,13.65,0,22.11,-12.35,3.41
6340118,Marketing thương mại,A00,2024,25.15,0.0,KV3,26.68,26.0,13.65,0,22.11,-12.35,3.039999999999999
6340118,Marketing thương mại,A00,2025,16.27,0.0,KV3,26.68,26.0,13.65,1,22.11,-12.35,-5.84
6340118,Marketing thương mại,A00,2024,29.89,0.0,KV3,26.68,26.0,13.65,1,22.11,-12.35,7.780000000000001
6340118,Marketing thương mại,A00,2024,27.86,0.25,KV2NT,26.68,26.0,13.65,1,22.11,-12.35,5.75
6340118,Marketing thương mại,A00,2024,24.72,0.75,KV1,26.68,26.0,13.65,0,22.11,-12.35,2.6099999999999994
6340118,Marketing thương mại,A00,2024,23.17,0.0,KV3,26.68,26.0,13.65,0,22.11,-12.35,1.0600000000000025
6340118,Marketing thương mại,A00,2024,24.17,0.75,KV1,26.68,26.0,13.65,0,22.11,-12.35,2.0600000000000023
6340118,Marketing thương mại,A00,2024,25.15,0.25,KV2NT,26.68,26.0,13.65,0,22.11,-12.35,3.039999999999999
6340118,Marketing thương mại,A01,2025,17.14,0.75,KV1,25.97,26.0,13.65,1,21.87333333333333,-12.35,-4.733333333333334
6340118,Marketing thương mại,A01,2024,28.19,0.25,KV2NT,25.97,26.0,13.65,1,21.87333333333333,-12.35,6.316666666666666
6340118,Marketing thương mại,A01,2024,25.61,0.0,KV3,25.97,26.0,13.65,0,21.87333333333333,-12.35,3.7366666666666646
6340118,Marketing thương mại,A01,2023,28.24,0.5,KV2,25.97,26.0,13.65,1,21.87333333333333,-12.35,6.366666666666664
6340118,Marketing thương mại,A01,2023,26.95,0.0,KV3,25.97,26.0,13.65,1,21.87333333333333,-12.35,5.076666666666664
6340118,Marketing thương mại,A01,2025,13.94,0.75,KV1,25.97,26.0,13.65,1,21.87333333333333,-12.35,-7.933333333333335
6340118,Marketing thương mại,A01,2024,26.74,0.0,KV3,25.97,26.0,13.65,1,21.87333333333333,-12.35,4.866666666666664
6340118,Marketing thương mại,A01,2023,28.09,0.75,KV1,25.97,26.0,13.65,1,21.87333333333333,-12.35,6.216666666666665
6340118,Marketing thương mại,A01,2023,29.02,0.5,KV2,25.97,26.0,13.65,1,21.87333333333333,-12.35,7.146666666666665
6340118,Marketing thương mại,A01,2023,24.93,0.25,KV2NT,25.97,26.0,13.65,0,21.87333333333333,-12.35,3.056666666666665
6340118,Marketing thương mại,D01,2025,15.08,0.0,KV3,25.39,26.0,13.65,1,21.680000000000003,-12.35,-6.600000000000003
6340118,Marketing thương mại,D01,2025,14.82,0.25,KV2NT,25.39,26.0,13.65,1,21.680000000000003,-12.35,-6.860000000000003
6340118,Marketing thương mại,D01,2024,26.79,0.5,KV2,25.39,26.0,13.65,1,21.680000000000003,-12.35,5.109999999999996
6340118,Marketing thương mại,D01,2024,25.78,0.75,KV1,25.39,26.0,13.65,0,21.680000000000003,-12.35,4.099999999999998
6340118,Marketing thương mại,D01,2025,13.73,0.75,KV1,25.39,26.0,13.65,1,21.680000000000003,-12.35,-7.950000000000003
6340118,Marketing thương mại,D01,2024,23.69,0.5,KV2,25.39,26.0,13.65,0,21.680000000000003,-12.35,2.009999999999998
6340118,Marketing thương mại,D01,2023,24.65,0.25,KV2NT,25.39,26.0,13.65,0,21.680000000000003,-12.35,2.9699999999999958
6340118,Marketing thương mại,D01,2024,23.46,0.25,KV2NT,25.39,26.0,13.65,0,21.680000000000003,-12.35,1.7799999999999976
6340118,Marketing thương mại,D01,2024,25.54,0.5,KV2,25.39,26.0,13.65,0,21.680000000000003,-12.35,3.859999999999996
6340118,Marketing thương mại,D01,2025,12.95,0.5,KV2,25.39,26.0,13.65,0,21.680000000000003,-12.35,-8.730000000000004
6340118,Marketing thương mại,D07,2025,12.76,0.25,KV2NT,25.44,26.0,13.65,0,21.69666666666667,-12.35,-8.93666666666667
6340118,Marketing thương mại,D07,2024,26.39,0.5,KV2,25.44,26.0,13.65,1,21.69666666666667,-12.35,4.693333333333332
6340118,Marketing thương mại,D07,2023,26.72,0.75,KV1,25.44,26.0,13.65,1,21.69666666666667,-12.35,5.02333333333333
6340118,Marketing thương mại,D07,2025,16.9,0.0,KV3,25.44,26.0,13.65,1,21.69666666666667,-12.35,-4.79666666666667
6340118,Marketing thương mại,D07,2025,15.85,0.25,KV2NT,25.44,26.0,13.65,1,21.69666666666667,-12.35,-5.846666666666669
6340118,Marketing thương mại,D07,2024,24.93,0.25,KV2NT,25.44,26.0,13.65,0,21.69666666666667,-12.35,3.2333333333333307
6340118,Marketing thương mại,D07,2025,10.56,0.5,KV2,25.44,26.0,13.65,0,21.69666666666667,-12.35,-11.136666666666668
6340118,Marketing thương mại,D07,2023,25.89,0.75,KV1,25.44,26.0,13.65,1,21.69666666666667,-12.35,4.193333333333332
6340118,Marketing thương mại,D07,2024,25.33,0.5,KV2,25.44,26.0,13.65,0,21.69666666666667,-12.35,3.633333333333329
6340118,Marketing thương mại,D07,2024,27.74,0.75,KV1,25.44,26.0,13.65,1,21.69666666666667,-12.35,6.0433333333333294
7140101,Giáo dục học,A00,2025,24.19,0.25,KV2NT,23.5,18.77,21.39,1,21.22,2.620000000000001,2.9700000000000024
7140101,Giáo dục học,A00,2023,23.07,0.0,KV3,23.5,18.77,21.39,0,21.22,2.620000000000001,1.8500000000000012
7140101,Giáo dục học,A00,2025,22.6,0.25,KV2NT,23.5,18.77,21.39,1,21.22,2.620000000000001,1.3800000000000026
7140101,Giáo dục học,A00,2024,19.36,0.5,KV2,23.5,18.77,21.39,1,21.22,2.620000000000001,-1.8599999999999997
7140101,Giáo dục học,A00,2025,19.18,0.25,KV2NT,23.5,18.77,21.39,0,21.22,2.620000000000001,-2.039999999999999
7140101,Giáo dục học,A00,2025,20.67,0.75,KV1,23.5,18.77,21.39,0,21.22,2.620000000000001,-0.5499999999999972
7140101,Giáo dục học,A00,2024,17.83,0.5,KV2,23.5,18.77,21.39,0,21.22,2.620000000000001,-3.390000000000001
7140101,Giáo dục học,A00,2025,17.55,0.0,KV3,23.5,18.77,21.39,0,21.22,2.620000000000001,-3.669999999999998
7140101,Giáo dục học,A00,2025,19.4,0.0,KV3,23.5,18.77,21.39,0,21.22,2.620000000000001,-1.8200000000000005
7140101,Giáo dục học,A00,2023,21.8,0.25,KV2NT,23.5,18.77,21.39,0,21.22,2.620000000000001,0.5800000000000018
7140101,Giáo dục học,A01,2024,24.6,0.75,KV1,19.25,19.91,16.0,1,18.386666666666667,-3.91,6.213333333333335
7140101,Giáo dục học,A01,2024,18.45,0.5,KV2,19.25,19.91,16.0,0,18.386666666666667,-3.91,0.0633333333333325
7140101,Giáo dục học,A01,2023,22.34,0.0,KV3,19.25,19.91,16.0,1,18.386666666666667,-3.91,3.953333333333333
7140101,Giáo dục học,A01,2025,17.15,0.25,KV2NT,19.25,19.91,16.0,1,18.386666666666667,-3.91,-1.236666666666668
7140101,Giáo dục học,A01,2024,18.62,0.25,KV2NT,19.25,19.91,16.0,0,18.386666666666667,-3.91,0.2333333333333342
